year,season,n_observations,n_images,damage_rate_obs,damage_rate_img,population_ha
2012,2012-2013,28,29,0.4286,0.4138,1.19
2013,2013-2014,62,70,0.5484,0.4857,0.67
2014,2014-2015,90,102,0.5778,0.5686,1.13
2015,2015-2016,256,311,0.4805,0.4695,4.01
2016,2016-2017,495,596,0.499,0.4732,2.91
2017,2017-2018,982,1233,0.5295,0.5069,2.48
2018,2018-2019,2255,2868,0.5792,0.5418,6.05
2019,2019-2020,3529,4526,0.516,0.4775,2.82
2020,2020-2021,5458,6822,0.5189,0.4914,2.1
2021,2021-2022,7060,8669,0.4619,0.4427,2.84
2022,2022-2023,6491,8581,0.4814,0.4476,2.21
2023,2023-2024,8750,11221,0.4537,0.4274,0.9
